000,-61, -39, -336
001,-58, -94, -372
002,-112, -121, -394
003,-114, -149, -401
004,-122, -126, -348
005,-165, -180, -355
006,-186, -155, -319
007,-228, -157, -326
008,-216, -102, -328
009,-250, -102, -354
010,-250, -62, -360
011,-201, -19, -381
012,-232, 23, -402
013,-195, 26, -329
014,-206, 34, -434
015,-169, 70, -336
016,-151, 93, -379
017,-145, 73, -377
018,-131, 73, -357
019,-114, 86, -294
020,-80, 58, -280
021,-62, 66, -239
022,-16, 85, -257
023,-47, 122, -289
024,-49, 140, -256
025,-21, 163, -285
026,-2, 157, -277
027,16, 120, -272
028,47, 144, -363
029,50, 148, -356
030,89, 159, -350
031,106, 113, -381
032,100, 91, -323
033,108, 99, -364
034,135, 46, -430
035,95, 29, -365
036,118, 24, -356
037,99, -3, -320
038,143, 6, -322
039,139, -27, -262
040,139, -20, -321
041,164, 22, -293
042,192, -9, -316
043,243, -56, -364
044,227, -84, -334
045,190, -83, -418
046,185, -70, -427
047,152, -70, -454
048,138, -90, -416
049,107, -44, -416
050,37, -34, -341
051,16, -66, -389
052,-21, -114, -390
053,-26, -60, -401
054,-44, -48, -357
055,-67, -104, -394
056,-27, -111, -359
057,2, -86, -332
058,-12, -92, -364
059,25, -128, -384
060,49, -101, -376
061,94, -116, -322
062,110, -72, -300
063,75, -81, -331
064,49, -112, -356
065,95, -151, -358
066,120, -169, -350
067,93, -125, -297
068,164, -148, -276
069,175, -164, -313
070,161, -164, -340
071,114, -198, -346
072,110, -201, -356
073,78, -186, -353
074,46, -158, -316
075,31, -134, -229
076,20, -126, -298
077,10, -112, -250
078,10, -72, -250
079,9, -59, -214
080,-46, -40, -240
081,-26, -102, -274
082,-33, -135, -259
083,-36, -154, -266
084,-27, -191, -253
085,21, -173, -213
086,-3, -193, -178
087,67, -223, -269
088,67, -230, -276
089,13, -200, -267
090,27, -218, -398
091,-7, -211, -414
092,-9, -188, -438
093,-44, -212, -434
094,-52, -157, -410
095,-104, -209, -369
096,-121, -206, -342
097,-133, -148, -278
098,-124, -209, -270
099,-85, -170, -251
100,-132, -191, -233
101,-97, -215, -240
102,-120, -164, -266
103,-60, -102, -260
104,-127, -103, -240
105,-115, -102, -216
106,-129, -85, -213
107,-119, -64, -239
108,-157, -48, -306
109,-160, 18, -260
110,-110, 8, -280
111,-130, 48, -290
112,-62, 44, -272
113,-110, 48, -280
114,-105, 63, -252
115,-178, 46, -294
116,-209, 62, -231
117,-187, -4, -323
118,-232, 18, -352
119,-209, 68, -230
120,-234, 110, -222
121,-205, 123, -254
122,-238, 135, -302
123,-217, 162, -324
124,-193, 132, -350
125,-209, 164, -376
126,-186, 144, -418
127,-120, 138, -390
128,-108, 168, -362
129,-78, 152, -320
130,-103, 198, -286
131,-90, 174, -243
132,-64, 200, -248
133,-106, 225, -293
134,-107, 171, -324
135,-93, 157, -270
136,-65, 200, -240
137,-33, 186, -289
138,-78, 229, -302
139,-95, 239, -288
140,-94, 224, -276
141,-48, 189, -219
142,-57, 200, -174
143,-9, 185, -222
144,-10, 138, -189
145,6, 95, -185
146,24, 79, -165
147,49, 108, -218
148,28, 82, -198
149,24, 64, -183
150,-12, 94, -228
151,-41, 159, -234
152,-24, 102, -166
153,-49, 136, -125
154,-14, 96, -109
155,-21, 109, -101
156,-25, 120, -120
157,-4, 163, -130
158,-4, 145, -148
159,2, 163, -175
160,12, 209, -210
161,-21, 200, -164
162,-33, 252, -198
163,-83, 239, -234
164,-109, 222, -194
165,-79, 198, -177
166,-110, 229, -196
167,-73, 194, -258
168,-123, 192, -278
169,-103, 159, -282
170,-145, 171, -292
171,-157, 159, -231
172,-114, 178, -189
173,-102, 160, -176
174,-102, 169, -162
175,-125, 153, -102
176,-167, 176, -100
177,-139, 138, -40
178,-144, 100, -69
179,-127, 52, -86
180,-131, 48, -113
181,-140, 41, -143
182,-160, 27, -135
183,-140, 49, -81
184,-164, 23, -120
185,-160, 26, -84
186,-194, 90, -79
187,-185, 81, -59
188,-233, 110, -106
189,-202, 115, -136
190,-231, 96, -168
191,-185, 80, -218
192,-214, 53, -180
193,-193, 56, -168
194,-174, 15, -186
195,-179, 48, -148
196,-164, 14, -123
197,-131, 52, -81
198,-100, 30, -100
199,-116, -14, -108
200,-189, -13, -175
201,-217, -37, -173
202,-191, -90, -170
203,-227, -79, -271
204,-174, -79, -216
205,-224, -94, -302
206,-180, -92, -306
207,-168, -66, -300
208,-160, -40, -289
209,-151, -72, -256
210,-147, -58, -198
211,-134, -52, -191
212,-128, -40, -173
213,-160, -60, -158
214,-131, -41, -117
215,-130, -40, -87
216,-101, -27, -68
217,-120, 19, -39
218,-127, 20, -20
219,-99, 8, 3
220,-116, 20, 56
221,-116, 35, 76
222,-58, 36, 75
223,-99, 29, 79
224,-97, 4, 68
225,-120, -43, 123
226,-169, -37, 120
227,-149, -36, 91
228,-107, -46, 42
229,-104, -20, -4
230,-96, -12, -45
231,-89, -24, -76
232,-76, -29, -64
233,-116, -2, -76
234,-77, -38, -57
235,-109, 2, -62
236,-80, -24, -64
237,-112, -37, -14
238,-116, -47, -22
239,-99, -68, 2
240,-141, -113, 49
241,-182, -171, 6
242,-191, -153, -32
243,-191, -157, -84
244,-160, -184, -130
245,-182, -156, -158
246,-156, -160, -188
247,-182, -149, -211
248,-125, -139, -202
249,-141, -158, -232
250,-77, -168, -161
251,-110, -192, -239
252,-100, -198, -172
253,-109, -211, -146
254,-70, -207, -150
255,-105, -209, -114
256,-31, -176, -143
257,-33, -212, -145
258,-58, -171, -129
259,-130, -62, -110
260,-38, -180, -134
261,-31, -182, -145
262,-52, -191, -122
263,-34, -190, -104
264,-88, -152, -54
265,-27, -165, -36
266,-77, -127, 4
267,-74, -162, 35
268,-47, -110, 48
269,-26, -145, 79
270,-48, -116, 90
271,-62, -130, 133
272,-57, -134, 80
273,-84, -157, 48
274,-67, -165, 41
275,-37, -129, -29
276,-16, -125, -57
277,23, -90, -38
278,-17, -112, -57
279,11, -109, -35
280,20, -155, -47
281,54, -170, -70
282,60, -181, -81
283,53, -159, -148
284,50, -160, -153
285,101, -176, -173
286,42, -176, -188
287,80, -161, -254
288,60, -194, -314
289,76, -191, -372
290,34, -166, -403
291,79, -183, -374
292,93, -175, -367
293,90, -205, -398
294,108, -224, -346
295,93, -199, -350
296,152, -197, -359
297,204, -252, -398
298,209, -249, -414
299,176, -202, -440
300,117, -156, -327
301,142, -162, -295
302,109, -62, -294
303,105, -115, -270
304,70, -135, -243
305,70, -106, -244
306,82, -83, -232
307,61, -106, -196
308,91, -83, -194
309,83, -93, -128
310,88, -94, -88
311,57, -111, -103
312,51, -95, -146
313,76, -162, -138
314,111, -146, -124
315,65, -132, -104
316,66, -128, -43
317,38, -89, -48
318,48, -94, -33
319,72, -101, 29
320,47, -97, 65
321,70, -124, 38
322,117, -137, 24
323,105, -112, -28
324,142, -75, -56
325,125, -72, -56
326,167, -84, -100
327,161, -51, -132
328,208, -82, -158
329,181, -83, -192
330,176, -79, -174
331,249, -118, -222
332,204, -56, -284
333,205, -48, -282
334,203, -32, -240
335,180, -67, -255
336,189, -31, -218
337,176, -28, -192
338,157, -72, -196
339,106, -21, -202
340,94, -25, -208
341,67, -49, -167
342,66, -37, -130
343,79, -44, -162
344,75, 8, -192
345,119, -25, -251
346,161, -41, -194
347,116, -4, -210
348,131, 7, -153
349,141, -37, -205
350,124, 10, -172
351,126, 33, -147
352,152, 50, -139
353,151, 14, -153
354,140, 18, -90
355,159, 44, -98
356,150, 94, -74
357,157, 73, -141
358,142, 91, -143
359,162, 119, -168
360,174, 73, -218
361,166, 125, -239
362,187, 138, -266
363,192, 88, -305
364,237, 154, -326
365,180, 141, -330
366,172, 183, -302
367,157, 118, -220
368,149, 167, -242
369,180, 184, -215
370,150, 216, -210
371,90, 179, -167
372,92, 160, -183
373,146, 237, -226
374,154, 253, -281
375,108, 206, -216
376,170, 224, -317
377,202, 225, -325
378,185, 168, -350
379,209, 167, -321
380,165, 110, -326
381,222, 67, -213
382,224, 85, -282
383,150, 53, -223
384,185, 30, -156
385,192, 43, -182
386,185, 0, -145
387,149, 4, -128
388,131, -7, -139
389,115, -2, -139
390,95, -3, -129
391,100, 27, -61
392,93, 24, -58
393,114, -23, -14
394,122, -12, -7
395,101, -21, 60
396,83, 20, 75
397,51, 11, 91
398,64, 55, 89
399,62, 77, 114
400,48, 134, 88
401,54, 135, 24
402,36, 152, 8
403,26, 89, 0
404,14, 120, -30
405,-22, 120, -22
406,-43, 139, -19
407,-22, 129, 20
408,-91, 152, 32
409,-112, 142, 42
410,-119, 158, 51
411,-112, 96, 74
412,-125, 88, 119
413,-95, 57, 119
414,-85, 84, 133
415,-43, 45, 93
416,-6, 85, 79
417,30, 90, 90
418,52, 91, 99
419,69, 53, 98
420,100, 30, 94
421,95, 20, 87
422,117, -3, 111
423,100, 4, 111
424,99, 11, 164
425,72, -24, 166
426,86, -14, 170
427,45, -25, 164
428,17, 22, 137
429,-9, 15, 144
430,-18, 17, 149
431,-21, -17, 137
432,-68, -34, 184
433,-22, -82, 141
434,-44, -72, 144
435,-66, -150, 157
436,-70, -151, 157
437,-39, -159, 137
438,-3, -157, 113
439,-10, -143, 87
440,24, -133, 74
441,55, -131, 71
442,32, -130, 109
443,88, -100, 88
444,48, -59, 118
445,71, -84, 125
446,23, -79, 153
447,28, -22, 138
448,43, -59, 174
449,39, -44, 209
450,-66, -14, 192
451,-105, 10, 229
452,-94, 70, 252
453,-122, 25, 276
454,-81, 51, 215
455,-62, 82, 209
456,-24, 72, 196
457,-21, 63, 183
458,-24, 72, 176
459,62, 92, 190
460,68, 108, 246
461,58, 64, 186
462,114, 66, 212
463,65, 1, 208
464,79, 20, 239
465,91, 14, 252
466,79, -22, 266
467,92, -12, 293
468,71, -36, 316
469,79, -19, 332
470,78, -64, 399
471,21, -32, 323
472,14, -18, 324
473,-11, -14, 359
474,-13, 0, 393
475,-4, 0, 406
476,48, 30, 423
477,37, -4, 414
478,31, -50, 453
479,-6, -21, 446
480,-11, 4, 430
481,9, 23, 400
482,-30, 54, 370
483,-36, 45, 325
484,-35, 38, 310
485,-43, 34, 277
486,7, 35, 231
487,-40, -26, 244
488,-24, -50, 282
489,-57, -49, 294
490,-6, -44, 233
491,0, -95, 282
492,48, -76, 234
493,48, -114, 288
494,19, -88, 255
495,70, -97, 242
496,68, -94, 223
497,46, -144, 170
498,18, -132, 172
499,48, -128, 142